avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
70.0,75.0,2021-02-13,55.0,90.0,60286872ecdd910025cac355,85.0,75.0,55.0,10.0,79.2,Equilibrium,55.0,Uncommon,6.0,75.667
15.0,15.0,2021-02-13,10.0,15.0,6028681fecdd910023cc68c6,15.0,15.0,15.0,3.0,12.4,Escape Velocity,15.0,Rare,1.0,15.0
13.5,15.0,2021-02-13,12.0,15.0,6028684fecdd910025cabc8f,15.0,13.5,12.0,3.0,13.7,Eternal War,12.0,Rare,2.0,13.5
10.0,10.0,2021-02-13,10.0,15.0,60286833ecdd910025cab745,10.0,10.0,10.0,0.0,10.9,Everlasting Ward,10.0,Rare,1.0,10.0
10.5,11.0,2021-02-13,9.0,11.0,60286830ecdd910023cc6b99,11.0,10.5,10.0,0.0,9.9,Exothermic,11.0,Rare,4.0,10.5
5.0,5.0,2021-02-06,3.0,5.0,601f2d99ecdd910023c58608,5.0,5.0,5.0,5.0,,Expel Corpus,5.0,Uncommon,1.0,5.0
12.0,12.0,2021-02-12,10.0,14.0,60271695ecdd910024cb31a6,12.0,12.0,12.0,0.0,11.2,Expel Corrupted,12.0,Uncommon,1.0,12.0
2.0,2.0,2020-12-05,2.0,2.0,5fcc2331ecdd910022892312,2.0,2.0,2.0,0.0,,Expel Grineer,2.0,Uncommon,1.0,2.0
3.0,3.0,2021-02-04,2.0,3.0,601c8a8eecdd910023c38cf0,3.0,3.0,3.0,0.0,,Expel Infested,3.0,Uncommon,1.0,3.0
12.0,12.0,2021-02-13,11.0,20.0,6028681fecdd910023cc68b3,12.0,12.0,12.0,3.0,15.5,Explosive Legerdemain,12.0,Rare,1.0,12.0
13.0,13.0,2021-02-13,13.0,25.0,6028685eecdd910023cc734a,13.0,13.0,13.0,0.0,16.1,Extreme Velocity,13.0,Rare,1.0,13.0
5.0,5.0,2021-01-08,2.0,5.0,5ff8f25fecdd910025a7ef1e,5.0,5.0,5.0,0.0,3.4,Fast Deflection,5.0,Uncommon,1.0,5.0
